fdcId,Name,Quantity,Unit,Price ($),Link to safeway site (college ave),Notes
2120006,chicken breast tenders,1,lb,7.99,https://www.safeway.com/shop/product-details.970020211.html,
2390897,Atlantic salmon fillet,1,lb,10.99,https://www.safeway.com/shop/product-details.186190041.html,
2094567,Cage free large eggs,1,dozen,5.99,https://www.safeway.com/shop/product-details.960273951.html,
2344719,Avocado,5,oz,2.00,https://www.safeway.com/shop/product-details.184040105.html,Didn't have weight listed on website so used average weight of medium avocado
2577037,Extra virgin olive oil,17,fluid oz,7.99,https://www.safeway.com/shop/product-details.115200061.html,
2067508,Greek Yogurt Plain,32,oz,6.99,https://www.safeway.com/shop/product-details.960127861.html,
2608592,Raw Almonds,16,oz,7.99,https://www.safeway.com/shop/product-details.960533142.html,
2099349,Spinach,16,oz,5.99,https://www.safeway.com/shop/product-details.184650215.html,
2429179,Unsalted Butter,16,oz,5.99,https://www.safeway.com/shop/product-details.138250170.html,
2670943,Parsley,0.35,oz,4.49,https://www.safeway.com/shop/product-details.960113064.html,
1859624,Ripe olives,2.25,oz,1.99,https://www.safeway.com/shop/product-details.107150005.html,
2345293,Green Cabbage,1,lb,1.49,https://www.safeway.com/shop/product-details.184310009.html,
2262072,Peanut Butter,16.3,oz,3.99,https://www.safeway.com/shop/product-details.960110940.html,
2345173,Carrots,1,lb,1.49,https://www.safeway.com/shop/product-details.184320053.html,
2514744,Ground beef,3,lb,14.97,https://www.safeway.com/shop/product-details.188100109.html,
2101796,Shredded cheese,32,oz,9.99,https://www.safeway.com/shop/product-details.137050452.html,
2461103,Cheese Slices,8,oz,3.99,https://www.safeway.com/shop/product-details.960019675.html,
2340762,Whole Milk,128,fluid oz,5.99,https://www.safeway.com/shop/product-details.136010121.html,
169255,Portabello Mushrooms,1,oz,0.50,https://www.safeway.com/shop/product-details.960073833.html,
1922954,Tomatoes,10,oz,3.69,https://www.safeway.com/shop/product-details.970063794.html,
2345304,Cucumber,32,oz,5.99,https://www.safeway.com/shop/product-details.960538211.html,
2345292,Brussels Sprouts,1,lb,3.99,https://www.safeway.com/shop/product-details.184300031.html,
168246,Pork Loin Sirloin,7,lb,13.93,https://www.safeway.com/shop/product-details.970466263.html,
2344777,Strawberries,1,lb,5.99,https://www.safeway.com/shop/product-details.184070124.html,
1858124,blue cheese,5,oz,4.99,https://www.safeway.com/shop/product-details.960010491.html,
173420,Cheese Feta Plain,8,oz,7.99,https://www.safeway.com/shop/product-details.137650445.html,
173459,plant-based milk,48,fluid oz,5.99,https://www.safeway.com/shop/product-details.184070124.html,
2327443,Organic Green Kale,0.22,lb,3.49,https://www.safeway.com/shop/product-details.184070124.html,
2345151,Broccoli Crown,1,lb,3.49,https://www.safeway.com/shop/product-details.184070124.html,